family,model_name,distance,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,split
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7975931499411244,0.8876165988997847,0.24120603015075376,0.7387387387387387,0.6949152542372882,0.9203539823008849,0.8845470692717584,0.7161572052401747,0.6590927210396238,rep6_fold1
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.797351865161379,0.8875767360280635,0.2562814070351759,0.7387387387387387,0.6949152542372882,0.9203539823008849,0.8845470692717584,0.7161572052401747,0.6590927210396238,rep6_fold1
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8680871509801612,0.9255760184963725,0.2914572864321608,0.8378378378378378,0.768595041322314,0.9380530973451328,0.9182948490230906,0.8017241379310345,0.7758909351829706,rep6_fold1
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5887637781393998,0.7414095511440644,0.23115577889447236,0.46846846846846846,0.5531914893617021,0.9070796460176991,0.8206039076376554,0.5073170731707317,0.37554811448616743,rep6_fold1
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5672972988728154,0.7898230088495576,0.35678391959798994,0.7387387387387387,0.43157894736842106,0.7610619469026548,0.7566607460035524,0.5448504983388704,0.49980068564139346,rep6_fold1
Distance-based functional,centroid,cosine,centroid + cosine,0.5652944420931123,0.7895439687475087,0.3165829145728643,0.7387387387387387,0.4293193717277487,0.7588495575221239,0.7548845470692718,0.543046357615894,0.49758829626086265,rep6_fold1
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5890258234876641,0.8151757952642908,0.3417085427135678,0.7567567567567568,0.49122807017543857,0.8075221238938053,0.7975133214920072,0.5957446808510638,0.5642788806505621,rep6_fold1
Distance-based functional,centroid,correlation,centroid + correlation,0.35304176772905743,0.6860200908873475,0.3768844221105528,0.7297297297297297,0.27,0.5154867256637168,0.5577264653641207,0.39416058394160586,0.2452164553934466,rep6_fold1
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7169181126291955,0.8549453595185303,0.24623115577889448,0.7053571428571429,0.7053571428571429,0.926829268292683,0.8827708703374778,0.7053571428571429,0.6321864111498259,rep6_fold2
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7139590777894305,0.8545494140006337,0.2964824120603015,0.7053571428571429,0.7117117117117117,0.9290465631929047,0.8845470692717584,0.7085201793721974,0.6344037060500476,rep6_fold2
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.7991801290516649,0.8911050839404498,0.21608040201005024,0.7678571428571429,0.7350427350427351,0.9312638580931264,0.8987566607460036,0.7510917030567685,0.6991210009502693,rep6_fold2
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5608366953644186,0.7507028032942666,0.2613065326633166,0.5267857142857143,0.5514018691588785,0.893569844789357,0.8206039076376554,0.5388127853881278,0.4203555590750714,rep6_fold2
Distance-based functional,centroid,euclidean,centroid + euclidean,0.49874146303898914,0.7803690212226797,0.3417085427135678,0.7321428571428571,0.3813953488372093,0.70509977827051,0.7104795737122558,0.5015290519877675,0.43724263541336716,rep6_fold2
Distance-based functional,centroid,cosine,centroid + cosine,0.4972544128418893,0.7801908457396263,0.31155778894472363,0.7321428571428571,0.3904761904761905,0.7161862527716186,0.7193605683836589,0.5093167701863354,0.4483291099144757,rep6_fold2
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5078370559779634,0.7980281913208742,0.3417085427135678,0.7410714285714286,0.43455497382198954,0.7605321507760532,0.7566607460035524,0.5478547854785478,0.5016035793474818,rep6_fold2
Distance-based functional,centroid,correlation,centroid + correlation,0.37891727208915194,0.6850847323408299,0.4170854271356784,0.6875,0.27017543859649124,0.5388026607538803,0.5683836589698046,0.3879093198992443,0.22630266075388028,rep6_fold2
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.739608002898923,0.8559055273994299,0.3768844221105528,0.6785714285714286,0.7916666666666666,0.9556541019955654,0.9005328596802842,0.7307692307692307,0.6342255305669942,rep6_fold3
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7398479109358377,0.8560045137789041,0.3165829145728643,0.6785714285714286,0.7755102040816326,0.9512195121951219,0.8969804618117229,0.7238095238095238,0.6297909407665505,rep6_fold3
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8246014261381669,0.9013897687678175,0.22613065326633167,0.7589285714285714,0.8095238095238095,0.9556541019955654,0.91651865008881,0.783410138248848,0.714582673424137,rep6_fold3
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5309986341250361,0.740536902122268,0.2613065326633166,0.5089285714285714,0.5757575757575758,0.9068736141906873,0.827708703374778,0.5402843601895735,0.41580218561925886,rep6_fold3
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5989359215259695,0.8110350015837822,0.34673366834170855,0.7678571428571429,0.4095238095238095,0.7250554323725056,0.7335701598579041,0.5341614906832298,0.4929125752296484,rep6_fold3
Distance-based functional,centroid,cosine,centroid + cosine,0.5987534839405582,0.8109756097560976,0.3065326633165829,0.7678571428571429,0.4095238095238095,0.7250554323725056,0.7335701598579041,0.5341614906832298,0.4929125752296484,rep6_fold3
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.6441455450662378,0.8345739626227431,0.3316582914572864,0.7589285714285714,0.4644808743169399,0.7827050997782705,0.7779751332149201,0.576271186440678,0.5416336712068419,rep6_fold3
Distance-based functional,centroid,correlation,centroid + correlation,0.3998835161111557,0.6896183085207476,0.37185929648241206,0.7142857142857143,0.28776978417266186,0.5609756097560976,0.5914742451154529,0.41025641025641024,0.275261324041812,rep6_fold3
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7381719089809595,0.8312579189103578,0.24120603015075376,0.6875,0.7475728155339806,0.9423503325942351,0.8916518650088809,0.7162790697674418,0.6298503325942351,rep6_fold4
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.738495509175781,0.8313569052898321,0.2864321608040201,0.6875,0.7475728155339806,0.9423503325942351,0.8916518650088809,0.7162790697674418,0.6298503325942351,rep6_fold4
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8186466019832372,0.8883235666772252,0.21105527638190955,0.8035714285714286,0.72,0.9223946784922394,0.8987566607460036,0.759493670886076,0.725966107063668,rep6_fold4
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5496948942946753,0.7082673424136838,0.22613065326633167,0.4642857142857143,0.5148514851485149,0.8913525498891353,0.8063943161634103,0.48826291079812206,0.35563826417484945,rep6_fold4
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5580085085153885,0.7795771301868865,0.3417085427135678,0.6875,0.3793103448275862,0.720620842572062,0.7140319715808171,0.4888888888888889,0.40812084257206216,rep6_fold4
Distance-based functional,centroid,cosine,centroid + cosine,0.5583164204015018,0.7794385492556224,0.30150753768844224,0.6875,0.38308457711442784,0.7250554323725056,0.7175843694493783,0.49201277955271566,0.4125554323725056,rep6_fold4
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.6158996109104015,0.8091938549255623,0.32160804020100503,0.7410714285714286,0.43455497382198954,0.7605321507760532,0.7566607460035524,0.5478547854785478,0.5016035793474818,rep6_fold4
Distance-based functional,centroid,correlation,centroid + correlation,0.3839458031533654,0.6805115616091226,0.3768844221105528,0.75,0.2828282828282828,0.5277161862527716,0.5719360568383659,0.41075794621026895,0.2777161862527717,rep6_fold4
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7661111329869885,0.8813481623216136,0.23618090452261306,0.7567567567567568,0.7368421052631579,0.9336283185840708,0.8987566607460036,0.7466666666666667,0.6903850753408276,rep7_fold0
