method_family,J,classifier,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
FPLS,5,lr,0.8693310060173373,0.030355449758215202,0.9319003451061512,0.014548904723401439,0.8344031531531532,0.03176473818113289,0.7869495403368658,0.04283681802237735,0.9433745069952711,0.014630488759532911,0.9217761989342805,0.012378691637566608,0.8090994422020583,0.02717707981755072,0.7777776601484243,0.032735664071152214,0.19638190954773868,0.01784147079113057
FPLS,5,weighted_knn,0.7947614568404974,0.033246543053473215,0.8943956025671437,0.0162556127974103,0.7605759330759331,0.037775096882342395,0.75534248192822,0.05018183929194294,0.9379291839177442,0.01749741292705293,0.9027708703374777,0.014007930315454773,0.7565375771908885,0.030321646947763056,0.6985051169936773,0.03716368339805897,0.36482412060301506,0.046832753568700904
FPLS,10,centroid,0.6568132827607285,0.045207407632125024,0.8517851232558226,0.022633664380090335,0.7275949163449164,0.05331781048383351,0.49268402384911364,0.0608173400891221,0.8088651570747405,0.04843511297547248,0.792753108348135,0.03619982750939466,0.5842520072143009,0.043024985352380335,0.5364600734196568,0.056984824114468945,0.35246231155778895,0.051766808459580406
FPLS,10,knn,0.7655225877752738,0.03325690253464608,0.8902102764115769,0.017194501083419234,0.772376126126126,0.031244238356650814,0.7119812894744151,0.035262264831798514,0.9222853835135294,0.012696015647736869,0.8925754884547069,0.012421683791835133,0.7404598338213653,0.027669015945877864,0.6946615096396556,0.03487818395700125,0.20100502512562815,0.0
FPLS,10,linear_svm,0.8660637836864957,0.027721374937331157,0.9315132858393165,0.013736762530771641,0.8152380952380952,0.03508952634184203,0.7738464510130971,0.054918128706522386,0.9397456978592312,0.019182987307795874,0.9150621669626999,0.015399861959760999,0.7925645997954501,0.032280387142064014,0.7549837930973264,0.03608018485197687,0.21447236180904522,0.01820177917213551
FPLS,10,lr,0.868293545004239,0.02810844208638849,0.9325268420946168,0.013903439965463896,0.8213127413127412,0.031064187555002114,0.7726940598026463,0.051555352491671105,0.9391676314188726,0.018061268526738408,0.9158081705150977,0.01563763404022391,0.795228023742314,0.03298966253175093,0.7604803727316138,0.03568939467563246,0.20834170854271356,0.018251824157398032
FPLS,10,weighted_knn,0.7926359486729081,0.03329814867948123,0.8919795376821062,0.01743335440332529,0.7598359073359073,0.037417725862027046,0.7370708987658703,0.05728265201487393,0.9313687381041147,0.01992797738529367,0.8973712255772647,0.015162225421722993,0.7464966984843758,0.031163565440539692,0.691204645440022,0.03595405685168298,0.3450251256281407,0.05493137781943788
FPLS,15,centroid,0.6568263434238945,0.04521071383650917,0.8517879082904445,0.022634764483435158,0.7275949163449164,0.05331781048383351,0.49256438025136234,0.06084900412300662,0.8087765633891254,0.0484234931582606,0.7926820603907637,0.03620800818913657,0.5841691870716139,0.043070633429347464,0.5363714797340419,0.05704789000790238,0.3523618090452261,0.051743209452798145
FPLS,15,knn,0.7655888883832429,0.03282610591893488,0.8893904810025575,0.017317043212909798,0.7745302445302445,0.03162886688848624,0.7067756376252636,0.029801005678245156,0.920247826854777,0.010631133793864586,0.8913676731793961,0.010856867263970834,0.7386975042747213,0.025133083620044672,0.6947780713850216,0.03393876068205507,0.20100502512562815,0.0
FPLS,15,linear_svm,0.8655770662127525,0.027054338729451167,0.9339854124175838,0.012535332920501182,0.8238320463320463,0.03406763909389992,0.748464230632737,0.05570406629486435,0.9299951925907031,0.021202033940543936,0.9089520426287744,0.017216437852576906,0.782889278475157,0.034080725428032234,0.7538272389227494,0.036995851268092836,0.21477386934673365,0.015154137404180383
FPLS,15,lr,0.868050599314025,0.02742503624078026,0.934860063074503,0.01275235072271476,0.8283140283140282,0.03628984777216378,0.7519349468266805,0.04770395593906928,0.9311896866354021,0.018265168335732215,0.9107992895204263,0.013853003904167882,0.7868888907067554,0.027852741162995926,0.7595037149494304,0.03438443246997164,0.2091457286432161,0.014778117384489387
FPLS,15,weighted_knn,0.7921033379668445,0.03347178787542201,0.8909814627292504,0.017587183505422918,0.7591473616473617,0.03406361715490431,0.7375633481200539,0.050269656306831785,0.9319484724211684,0.018565824616154403,0.8976909413854353,0.014580825068316313,0.7468352948894375,0.02937930600623993,0.6910958340685299,0.034158732540004004,0.35758793969849245,0.04991539902143651
